date	agent name	num calls handled	num calls unanswered	avg call time	total talk time	total staffed time	filename
2017-04-14	Back Office3	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170414_000000_agent_statistics.csv
2017-04-14	Reception Desk	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170414_000000_agent_statistics.csv
2017-04-14	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170414_000000_agent_statistics.csv
2017-04-16	Reception L1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170416_000000_agent_statistics.csv
2017-04-16	Back Office3	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170416_000000_agent_statistics.csv
2017-04-16	Reception Desk	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170416_000000_agent_statistics.csv
2017-04-16	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170416_000000_agent_statistics.csv
2017-04-17	Reception L1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170417_000000_agent_statistics.csv
2017-04-17	Back Office3	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170417_000000_agent_statistics.csv
2017-04-17	Reception Desk	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170417_000000_agent_statistics.csv
2017-04-17	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170417_000000_agent_statistics.csv
2017-04-18	Reception L1	76	51	0 days 00:02:58.000000000	0 days 02:28:09.000000000	1 days 00:00:00.000000000	20170418_000000_agent_statistics.csv
2017-04-18	Back Office3	94	64	0 days 00:02:23.000000000	0 days 02:45:54.000000000	1 days 00:00:00.000000000	20170418_000000_agent_statistics.csv
2017-04-18	Reception Desk	66	13	0 days 00:03:32.000000000	0 days 02:24:27.000000000	1 days 00:00:00.000000000	20170418_000000_agent_statistics.csv
